absinthe,11,beverages,"[0, 1, 2, 3]"
acacia,3,flowers,"[0, 1, 2, 3]"
acai berry,2,fruits_vegetables_and_nuts,"[0, 2]"
acerola,2,fruits_vegetables_and_nuts,"[0, 2]"
acerola blossom,3,flowers,"[0, 1, 2, 3]"
acetyl furan,7,sweets_and_gourmand_smells,"[3]"
agarwood (oud),8,woods_and_mosses,"[2, 3]"
agave,5,greens_herbs_and_fougeres,"[1, 2]"
agave nectar,7,sweets_and_gourmand_smells,"[3]"
aglaia,3,flowers,"[0, 1, 2, 3]"
akigalawood,8,woods_and_mosses,"[2, 3]"
aldehydes,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
alder,8,woods_and_mosses,"[2, 3]"
algae,5,greens_herbs_and_fougeres,"[1, 2]"
allspice,6,spices,"[2, 3]"
almond,2,fruits_vegetables_and_nuts,"[0, 2]"
almond blossom,3,flowers,"[0, 1, 2, 3]"
almond tree,8,woods_and_mosses,"[2, 3]"
aloe vera,5,greens_herbs_and_fougeres,"[1, 2]"
aluminum,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
alumroot,3,flowers,"[0, 1, 2, 3]"
alyssum,3,flowers,"[0, 1, 2, 3]"
amaranth,8,woods_and_mosses,"[2, 3]"
amaretto,11,beverages,"[0, 1, 2, 3]"
amarillys,3,flowers,"[0, 1, 2, 3]"
amber,10,musk_amber_animalic_smells,"[2, 3]"
amber xtreme,10,musk_amber_animalic_smells,"[2, 3]"
ambergris,10,musk_amber_animalic_smells,"[2, 3]"
ambertonic (iff),10,musk_amber_animalic_smells,"[2, 3]"
amberwood,9,resins_and_balsams,"[2, 3]"
ambrarome,10,musk_amber_animalic_smells,"[2, 3]"
ambretone,10,musk_amber_animalic_smells,"[2, 3]"
ambrette (musk mallow),10,musk_amber_animalic_smells,"[2, 3]"
ambrettolide,10,musk_amber_animalic_smells,"[2, 3]"
ambrocenide (symrise),10,musk_amber_animalic_smells,"[2, 3]"
ambroxan,10,musk_amber_animalic_smells,"[2, 3]"
ammophila (beach grass),5,greens_herbs_and_fougeres,"[1, 2]"
amyl salicylate,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
amyris,8,woods_and_mosses,"[2, 3]"
anemone,3,flowers,"[0, 1, 2, 3]"
angel's trumpet,3,flowers,"[0, 1, 2, 3]"
angelica,5,greens_herbs_and_fougeres,"[1, 2]"
animal notes,10,musk_amber_animalic_smells,"[2, 3]"
anise,6,spices,"[2, 3]"
apple,2,fruits_vegetables_and_nuts,"[0, 2]"
apple blossom,3,flowers,"[0, 1, 2, 3]"
apple juice,2,fruits_vegetables_and_nuts,"[0, 2]"
apple mint,5,greens_herbs_and_fougeres,"[1, 2]"
apple pulp,2,fruits_vegetables_and_nuts,"[0, 2]"
apple tree,8,woods_and_mosses,"[2, 3]"
apricot,2,fruits_vegetables_and_nuts,"[0, 2]"
apricot blossom,3,flowers,"[0, 1, 2, 3]"
aquozone,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
araucaria,8,woods_and_mosses,"[2, 3]"
"arbutus (madrona, bearberry tree)",8,woods_and_mosses,"[2, 3]"
arctic bramble,2,fruits_vegetables_and_nuts,"[0, 2]"
argan,2,fruits_vegetables_and_nuts,"[0, 2]"
argan tree,8,woods_and_mosses,"[2, 3]"
arnica,5,greens_herbs_and_fougeres,"[1, 2]"
artemisia,5,greens_herbs_and_fougeres,"[1, 2]"
arum lily,4,white_flowers,"[0, 2, 3]"
asafoetida,6,spices,"[2, 3]"
ash,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
ashoka flower,3,flowers,"[0, 1, 2, 3]"
asparagus,5,greens_herbs_and_fougeres,"[1, 2]"
aspen,8,woods_and_mosses,"[2, 3]"
asphalt,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
aspic,10,musk_amber_animalic_smells,"[2, 3]"
avocado,5,greens_herbs_and_fougeres,"[1, 2]"
azolla (water fern),5,greens_herbs_and_fougeres,"[1, 2]"
bacon,10,musk_amber_animalic_smells,"[2, 3]"
baileys irish cream,11,beverages,"[0, 1, 2, 3]"
balsamic vinegar,9,resins_and_balsams,"[2, 3]"
bamboo,8,woods_and_mosses,"[2, 3]"
banana,2,fruits_vegetables_and_nuts,"[0, 2]"
banana flower,3,flowers,"[0, 1, 2, 3]"
banana leaf,5,greens_herbs_and_fougeres,"[1, 2]"
baobab,8,woods_and_mosses,"[2, 3]"
barberry,3,flowers,"[0, 1, 2, 3]"
bark,8,woods_and_mosses,"[2, 3]"
barley,5,greens_herbs_and_fougeres,"[1, 2]"
basil,5,greens_herbs_and_fougeres,"[1, 2]"
bay essence,5,greens_herbs_and_fougeres,"[1, 2]"
bay leaf,6,spices,"[2, 3]"
bbq,10,musk_amber_animalic_smells,"[2, 3]"
bearberry,2,fruits_vegetables_and_nuts,"[0, 2]"
beech,8,woods_and_mosses,"[2, 3]"
beer/ale,11,beverages,"[0, 1, 2, 3]"
beeswax,10,musk_amber_animalic_smells,"[2, 3]"
beetroot,2,fruits_vegetables_and_nuts,"[0, 2]"
belambra tree,8,woods_and_mosses,"[2, 3]"
belladona,3,flowers,"[0, 1, 2, 3]"
bellflower,3,flowers,"[0, 1, 2, 3]"
bellini,11,beverages,"[0, 1, 2, 3]"
benzoin,9,resins_and_balsams,"[2, 3]"
bergamot,1,citrus_smells,"[0, 1]"
bergamot blossom,3,flowers,"[0, 1, 2, 3]"
birch,8,woods_and_mosses,"[2, 3]"
birch tar,9,resins_and_balsams,"[2, 3]"
biscuit,7,sweets_and_gourmand_smells,"[3]"
bitter orange,1,citrus_smells,"[0, 1]"
black currant,2,fruits_vegetables_and_nuts,"[0, 2]"
black currant blossom,3,flowers,"[0, 1, 2, 3]"
black currant leaf,5,greens_herbs_and_fougeres,"[1, 2]"
black hemlock or tsuga,8,woods_and_mosses,"[2, 3]"
black locust,4,white_flowers,"[0, 2, 3]"
black spruce,8,woods_and_mosses,"[2, 3]"
blackberry,2,fruits_vegetables_and_nuts,"[0, 2]"
blackberry blossom,3,flowers,"[0, 1, 2, 3]"
blackberry leaf,5,greens_herbs_and_fougeres,"[1, 2]"
blackthorn,2,fruits_vegetables_and_nuts,"[0, 2]"
blackwood,8,woods_and_mosses,"[2, 3]"
blood,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
blood orange,1,citrus_smells,"[0, 1]"
blue lilies,3,flowers,"[0, 1, 2, 3]"
blue margarita,11,beverages,"[0, 1, 2, 3]"
blue poppy,3,flowers,"[0, 1, 2, 3]"
blueberry,2,fruits_vegetables_and_nuts,"[0, 2]"
boisiris,12,netural_and_synthetic_popular_and_weird,"[0, 1, 2, 3]"
borage,5,greens_herbs_and_fougeres,"[1, 2]"
borneol,5,greens_herbs_and_fougeres,"[1, 2]"
boronia,4,white_flowers,"[0, 2, 3]"
bougainvillea,3,flowers,"[0, 1, 2, 3]"
