top,heart,base,perfume_id
"[480, 224]","[259, 510, 785, 224]","[28, 624]",26120000
"[42, 920, 472, 28, 473, 785]",,,26120001
,,,26120002
"[292, 229, 388, 178, 224, 646, 395]","[358, 785, 545]","[193, 692, 26, 624]",26120003
,,,26120005
"[96, 515, 562]","[886, 512, 292]","[624, 193, 649]",26120006
[515],"[353, 395, 53]",[649],26120007
"[515, 660, 530]","[604, 82]","[649, 193, 178]",26120008
"[708, 84, 924]",,,26120009
,,,26120010
"[96, 785, 800, 646, 237, 372]",,,26120011
,,,26120012
[574],,[903],26120013
,,,26120014
"[96, 388]","[896, 793, 45, 473]","[649, 624]",26120015
,,,26120016
"[96, 562]","[292, 178, 646]","[808, 193, 624]",26120017
"[562, 708, 715, 229]",,,26120018
"[96, 515, 237, 82, 886, 292, 793, 512, 481]","[966, 785, 102]","[808, 26]",26120019
"[227, 96, 395]","[229, 178]","[513, 331, 900, 652]",26120020
,"[376, 708, 367]",[808],26120021
"[96, 512]","[26, 649]","[193, 624]",26120027
"[227, 481]","[802, 178, 512]",,26120028
"[473, 372, 513, 649, 624, 498]",,,26120029
"[96, 515, 660, 715, 639]","[793, 785]","[624, 959]",26120030
"[96, 562]","[421, 646]","[193, 692, 649, 624]",26120031
"[562, 715, 398]","[421, 473]","[808, 920, 624]",26120032
,,,26120033
"[96, 512, 604]",[692],"[908, 920, 176, 216, 624]",26120034
,,,26120035
,,,26120036
"[395, 672]","[353, 455]","[26, 624]",26120037
"[515, 512]",[259],[433],26120038
"[96, 515]","[473, 455]","[808, 649, 28, 920]",26120039
,,,26120040
"[473, 793]",[573],"[193, 692, 624, 785]",26120041
,"[512, 793, 519, 785]","[924, 808, 692]",26120042
"[661, 515, 96, 512]",,,26120043
"[512, 96, 515, 793, 82]","[896, 246, 180, 229, 372]","[649, 193, 624, 924]",26120044
"[552, 96, 156, 178]","[785, 473, 193, 180]","[649, 26, 624, 513]",26120045
"[562, 96, 515, 390]","[512, 82, 639, 473]","[692, 924, 649]",26120046
"[12, 512, 515, 224, 177, 395]","[358, 785, 808]","[26, 649, 498, 863, 908, 624]",26120047
[227],[455],"[7, 26]",26120048
,[624],,26120049
[227],[376],[808],26120050
,,,26120051
"[96, 259, 715, 512, 82, 793]","[290, 180, 372, 341, 229]","[513, 649, 193, 347, 26, 908]",26120052
[227],"[512, 802]","[928, 7]",26120053
"[96, 515, 512, 562]","[290, 715, 480, 785, 473, 246, 372]","[649, 193, 924, 624, 26]",26120054
"[227, 604]","[193, 353, 354]","[7, 908]",26120055
"[388, 96, 562, 971]","[808, 372, 692]","[903, 920]",26120056
"[45, 906, 688, 708, 44, 604, 723]","[376, 193, 512, 473, 480, 372, 624]","[808, 896, 649]",26120057
,,,26120058
"[723, 45, 562, 604, 708, 906]","[372, 376, 473, 512, 624, 480]","[649, 177, 808]",26120059
"[481, 388]","[473, 227]","[26, 900, 959]",26120060
"[512, 723, 82, 229, 481]","[604, 376, 646, 372, 661, 224, 237]","[193, 808, 924, 26, 624]",26120061
"[96, 366, 515, 480, 60]","[180, 246, 785, 473, 896]","[498, 692, 513, 649, 26, 624, 652]",26120062
,"[512, 802]","[193, 649, 624]",26120063
,,,26120064
"[96, 480, 60, 82, 282]","[785, 180, 473, 246]","[624, 513, 692, 652, 649]",26120065
"[802, 512, 515, 96, 480]","[246, 180]","[649, 808, 624, 692, 924, 513]",26120066
"[96, 971]",,"[193, 808, 26, 624]",26120067
"[96, 562, 715, 576, 962]","[512, 229, 259, 708, 793, 481]","[692, 246, 924, 193, 808, 649, 624]",26120068
"[512, 96, 793, 715]","[372, 229]","[193, 908, 649]",26120069
[7],,,26120070
,,,26120071
"[96, 515]","[512, 224]","[473, 649]",26120072
"[366, 395, 96, 229, 562]","[639, 512, 341, 180, 372, 193]","[624, 649, 26, 498, 924]",26120073
"[82, 96, 962, 510, 480]","[246, 224, 180, 372]","[649, 26, 903, 193]",26120074
"[512, 793, 510, 715, 96]","[372, 785, 180, 433, 224, 292]","[624, 193, 649, 513, 498, 347]",26120075
"[292, 178, 883, 82, 604]","[96, 473, 785]","[26, 920, 808, 624, 924]",26120076
"[971, 562, 515, 366, 395]",[376],"[26, 624]",26120077
,,,26120078
"[96, 562]",[708],"[924, 692, 808, 193, 908, 498]",26120079
,,,26120080
[395],,,26120081
,,,26120082
,,,26120083
[883],[802],"[193, 808]",26120084
,,,26120085
,,,26120086
,,,26120087
[628],"[920, 646]","[713, 904, 28]",26120088
"[26, 920]",,,26120089
"[708, 96, 785, 282, 639]","[896, 224, 178, 512]","[193, 692, 808, 908, 920, 624, 26]",26120090
"[723, 802, 96, 341]","[480, 512, 372, 924]","[639, 193, 26, 624, 808]",26120091
,,,26120092
"[562, 388]","[512, 793]","[808, 229]",26120093
[96],[512],[924],26120094
,,,26120095
"[966, 785]",[473],"[652, 808, 193]",26120097
,,,26120098
"[395, 227]","[808, 692, 959]","[228, 624, 28, 191]",26120099
"[886, 82]","[178, 473]","[193, 808, 649, 624]",26120100
"[245, 920, 624]",,,26120101
"[227, 639, 358]","[512, 480, 372]","[924, 513, 649]",26120102
[96],"[216, 649]","[920, 808]",26120103
"[888, 908]",,,26120104
"[229, 628, 96, 515, 530, 259, 193]","[669, 896, 82, 785, 473, 692, 808]","[498, 652, 89, 513, 624, 191, 649]",26120105
"[388, 530, 481, 26]","[480, 372, 896]","[808, 193, 26]",26120106
"[96, 886, 708, 292, 42, 366, 512, 723]","[927, 966, 785, 237]","[808, 649, 624, 26]",26120107
"[227, 473, 96, 201]","[692, 512, 924]","[624, 26, 649]",26120108
,,,26120109
,[398],"[529, 290]",26120110
[512],"[512, 927, 808]",,26120111
[96],"[639, 715]","[692, 920]",26120112
,,"[472, 920]",26120113
"[96, 883, 344, 366]","[512, 259, 178, 573, 708, 473, 529]","[808, 193, 28, 908, 624, 649]",26120114
"[512, 358]","[26, 372, 388]",[649],26120115
"[530, 515, 649, 624]",,,26120116
